Size,Runtime
(bytes),(seconds)
      2560,0.00196600
      3072,0.00199485
      3584,0.00196385
      4096,0.00196314
      5120,0.00199485
      6144,0.00199389
      7168,0.00199389
      8192,0.00196481
     10240,0.00196791
     12288,0.00199389
     14336,0.00199294
     16384,0.00199294
     20480,0.00199389
     24576,0.00199294
     28672,0.00199413
     32768,0.00196505
     40960,0.00296092
     49152,0.00296283
     57344,0.00296402
     65536,0.00299191
     81920,0.00298905
     98304,0.00395799
    114688,0.00395918
    131072,0.00398898
    163840,0.00396013
    196608,0.00398898
    229376,0.00695086
    262144,0.00597692
    327680,0.00797796
    393216,0.00797892
    458752,0.00797892
    524288,0.00797915
    655360,0.00897503
    786432,0.00894594
    917504,0.00894594
   1048576,0.00894499
   1310720,0.00897384
   1572864,0.00897598
   1835008,0.00894690
   2097152,0.00897503
   2621440,0.00997305
   3145728,0.00996995
   3670016,0.01094198
   4194304,0.01094103
   5242880,0.01097012
   6291456,0.01193810
   7340032,0.01099896
   8388608,0.01097083
  10485760,0.01097012
  12582912,0.01097107
  14680064,0.01097012
  16777216,0.01094198
  20971520,0.01097703
  25165824,0.01096988
  29360128,0.01094198
  33554432,0.01097083
  41943040,0.01097202
  50331648,0.01097393
  58720256,0.01193905
  67108864,0.01193905
  83886080,0.01096988
 100663296,0.01097393
 117440512,0.01096916
 134217728,0.01193905
