Size,Runtime
(bytes),(seconds)
      2560,0.00196505
      3072,0.00199389
      3584,0.00199103
      4096,0.00199389
      5120,0.00199413
      6144,0.00196600
      7168,0.00199294
      8192,0.00199389
     10240,0.00199389
     12288,0.00199294
     14336,0.00199509
     16384,0.00199413
     20480,0.00199389
     24576,0.00199389
     28672,0.00199389
     32768,0.00199485
     40960,0.00199389
     49152,0.00199389
     57344,0.00196505
     65536,0.00196314
     81920,0.00196409
     98304,0.00199485
    114688,0.00198603
    131072,0.00199509
    163840,0.00199103
    196608,0.00196600
    229376,0.00199389
    262144,0.00196505
    327680,0.00199318
    393216,0.00199389
    458752,0.00199103
    524288,0.00202298
    655360,0.00199509
    786432,0.00199008
    917504,0.00199389
   1048576,0.00199294
   1310720,0.00199294
   1572864,0.00199485
   1835008,0.00199413
   2097152,0.00196695
   2621440,0.00196195
   3145728,0.00199389
   3670016,0.00196481
   4194304,0.00199413
   5242880,0.00199699
   6291456,0.00196505
   7340032,0.00202298
   8388608,0.00196481
  10485760,0.00199485
  12582912,0.00199389
  14680064,0.00199389
  16777216,0.00199389
  20971520,0.00199294
  25165824,0.00199389
  29360128,0.00199389
  33554432,0.00199389
  41943040,0.00199485
  50331648,0.00199413
  58720256,0.00199389
  67108864,0.00199413
  83886080,0.00199389
 100663296,0.00199389
 117440512,0.00196600
 134217728,0.00199294
