Size,Runtime
(bytes),(seconds)
      2560,0.00198913
      3072,0.00199413
      3584,0.00199389
      4096,0.00199413
      5120,0.00199294
      6144,0.00196695
      7168,0.00199389
      8192,0.00199294
     10240,0.00199413
     12288,0.00199008
     14336,0.00199103
     16384,0.00199294
     20480,0.00196195
     24576,0.00196695
     28672,0.00199389
     32768,0.00196505
     40960,0.00199389
     49152,0.00202203
     57344,0.00199485
     65536,0.00196385
     81920,0.00199389
     98304,0.00195789
    114688,0.00199294
    131072,0.00199389
    163840,0.00199604
    196608,0.00196695
    229376,0.00196600
    262144,0.00199389
    327680,0.00295997
    393216,0.00199413
    458752,0.00199389
    524288,0.00202203
    655360,0.00199604
    786432,0.00196695
    917504,0.00196600
   1048576,0.00196695
   1310720,0.00196505
   1572864,0.00196409
   1835008,0.00199604
   2097152,0.00199389
   2621440,0.00196505
   3145728,0.00199509
   3670016,0.00199485
   4194304,0.00199604
   5242880,0.00197005
   6291456,0.00199389
   7340032,0.00199485
   8388608,0.00199318
  10485760,0.00199389
  12582912,0.00199389
  14680064,0.00195313
  16777216,0.00197220
  20971520,0.00199413
  25165824,0.00199509
  29360128,0.00199413
  33554432,0.00199413
  41943040,0.00199509
  50331648,0.00199509
  58720256,0.00199413
  67108864,0.00199389
  83886080,0.00199413
 100663296,0.00199294
 117440512,0.00199485
 134217728,0.00203419
