Size,Runtime
(bytes),(seconds)
      2560,0.00197220
      3072,0.00199389
      3584,0.00199389
      4096,0.00199389
      5120,0.00199485
      6144,0.00199389
      7168,0.00198793
      8192,0.00199199
     10240,0.00199509
     12288,0.00197005
     14336,0.00199485
     16384,0.00199008
     20480,0.00196600
     24576,0.00199485
     28672,0.00199413
     32768,0.00199389
     40960,0.00199103
     49152,0.00196815
     57344,0.00196600
     65536,0.00199389
     81920,0.00296307
     98304,0.00199199
    114688,0.00199389
    131072,0.00196600
    163840,0.00199199
    196608,0.00199413
    229376,0.00196695
    262144,0.00199509
    327680,0.00199389
    393216,0.00199389
    458752,0.00196600
    524288,0.00199509
    655360,0.00199389
    786432,0.00199389
    917504,0.00199485
   1048576,0.00199389
   1310720,0.00198984
   1572864,0.00200295
   1835008,0.00196695
   2097152,0.00196695
   2621440,0.00196505
   3145728,0.00199389
   3670016,0.00199389
   4194304,0.00202012
   5242880,0.00199413
   6291456,0.00199509
   7340032,0.00199389
   8388608,0.00199103
  10485760,0.00199318
  12582912,0.00199389
  14680064,0.00199389
  16777216,0.00199389
  20971520,0.00199485
  25165824,0.00199389
  29360128,0.00199389
  33554432,0.00199485
  41943040,0.00199389
  50331648,0.00199389
  58720256,0.00199389
  67108864,0.00196600
  83886080,0.00199389
 100663296,0.00199413
 117440512,0.00199413
 134217728,0.00199485
