Size,Runtime
(bytes),(seconds)
      2560,0.00196409
      3072,0.00196481
      3584,0.00199509
      4096,0.00196600
      5120,0.00199413
      6144,0.00199389
      7168,0.00199413
      8192,0.00196505
     10240,0.00196481
     12288,0.00199389
     14336,0.00199890
     16384,0.00198698
     20480,0.00199294
     24576,0.00202489
     28672,0.00199389
     32768,0.00199413
     40960,0.00199389
     49152,0.00296402
     57344,0.00200605
     65536,0.00199223
     81920,0.00196695
     98304,0.00199413
    114688,0.00199509
    131072,0.00196314
    163840,0.00198102
    196608,0.00196409
    229376,0.00199199
    262144,0.00196600
    327680,0.00199294
    393216,0.00192595
    458752,0.00199413
    524288,0.00199485
    655360,0.00199389
    786432,0.00199389
    917504,0.00196505
   1048576,0.00199389
   1310720,0.00199509
   1572864,0.00199318
   1835008,0.00199389
   2097152,0.00196600
   2621440,0.00196099
   3145728,0.00199389
   3670016,0.00199103
   4194304,0.00199294
   5242880,0.00199389
   6291456,0.00199389
   7340032,0.00196290
   8388608,0.00196505
  10485760,0.00196600
  12582912,0.00199413
  14680064,0.00196600
  16777216,0.00199294
  20971520,0.00199199
  25165824,0.00199294
  29360128,0.00196505
  33554432,0.00199318
  41943040,0.00196505
  50331648,0.00199485
  58720256,0.00199294
  67108864,0.00199389
  83886080,0.00199389
 100663296,0.00196719
 117440512,0.00199389
 134217728,0.00199413
