Size,Runtime
(bytes),(seconds)
      2560,0.00199509
      3072,0.00199485
      3584,0.00197315
      4096,0.00199509
      5120,0.00196505
      6144,0.00199413
      7168,0.00197005
      8192,0.00199389
     10240,0.00196695
     12288,0.00199389
     14336,0.00199199
     16384,0.00199294
     20480,0.00201797
     24576,0.00199509
     28672,0.00199389
     32768,0.00199485
     40960,0.00298810
     49152,0.00299096
     57344,0.00299191
     65536,0.00395989
     81920,0.00299191
     98304,0.00396299
    114688,0.00395918
    131072,0.00398493
    163840,0.00398588
    196608,0.00398993
    229376,0.00698090
    262144,0.00697899
    327680,0.00800800
    393216,0.00794888
    458752,0.00897503
    524288,0.00894690
    655360,0.00897503
    786432,0.00894690
    917504,0.00897479
   1048576,0.00897503
   1310720,0.00897503
   1572864,0.00897598
   1835008,0.00994492
   2097152,0.01097202
   2621440,0.01093888
   3145728,0.01097012
   3670016,0.01097083
   4194304,0.01293993
   5242880,0.01194000
   6291456,0.01193810
   7340032,0.01196694
   8388608,0.01196694
  10485760,0.01295996
  12582912,0.01293707
  14680064,0.01206899
  16777216,0.01197100
  20971520,0.01199508
  25165824,0.01293588
  29360128,0.01293397
  33554432,0.01199698
  41943040,0.01196694
  50331648,0.01199985
  58720256,0.01199412
  67108864,0.01196694
  83886080,0.01293206
 100663296,0.01293612
 117440512,0.01196814
 134217728,0.01196790
