Size,Runtime
(bytes),(seconds)
      2560,0.00199389
      3072,0.00196600
      3584,0.00200009
      4096,0.00202012
      5120,0.00196195
      6144,0.00199485
      7168,0.00199413
      8192,0.00199389
     10240,0.00199485
     12288,0.00199389
     14336,0.00198698
     16384,0.00199413
     20480,0.00199389
     24576,0.00196600
     28672,0.00199389
     32768,0.00199389
     40960,0.00298905
     49152,0.00295901
     57344,0.00298810
     65536,0.00299191
     81920,0.00396085
     98304,0.00398898
    114688,0.00395989
    131072,0.00398898
    163840,0.00395989
    196608,0.00398898
    229376,0.00396109
    262144,0.00696802
    327680,0.00795007
    393216,0.00798011
    458752,0.00797915
    524288,0.00894809
    655360,0.00797701
    786432,0.00897503
    917504,0.00894594
   1048576,0.00894594
   1310720,0.00897598
   1572864,0.00997281
   1835008,0.00994420
   2097152,0.00997281
   2621440,0.01196694
   3145728,0.01196694
   3670016,0.01096988
   4194304,0.01196694
   5242880,0.01196694
   6291456,0.01199722
   7340032,0.01196599
   8388608,0.01196718
  10485760,0.01196790
  12582912,0.01196694
  14680064,0.01196790
  16777216,0.01096892
  20971520,0.01196098
  25165824,0.01295114
  29360128,0.01196694
  33554432,0.01196790
  41943040,0.01250100
  50331648,0.01293421
  58720256,0.01293492
  67108864,0.01193905
  83886080,0.01296520
 100663296,0.01199603
 117440512,0.01196718
 134217728,0.01293707
