Size,Runtime
(bytes),(seconds)
      2560,0.00199389
      3072,0.00196815
      3584,0.00196600
      4096,0.00199389
      5120,0.00199413
      6144,0.00199294
      7168,0.00196600
      8192,0.00198817
     10240,0.00196600
     12288,0.00196815
     14336,0.00196505
     16384,0.00196505
     20480,0.00201988
     24576,0.00199389
     28672,0.00199103
     32768,0.00199389
     40960,0.00296187
     49152,0.00296283
     57344,0.00296283
     65536,0.00299692
     81920,0.00396204
     98304,0.00396109
    114688,0.00396013
    131072,0.00398803
    163840,0.00396204
    196608,0.00398588
    229376,0.00697803
    262144,0.00695300
    327680,0.00797796
    393216,0.00797796
    458752,0.00797415
    524288,0.00798011
    655360,0.00894713
    786432,0.00797796
    917504,0.00897598
   1048576,0.00897503
   1310720,0.00900412
   1572864,0.00994301
   1835008,0.00994301
   2097152,0.00996900
   2621440,0.01094198
   3145728,0.01094294
   3670016,0.01094198
   4194304,0.01094103
   5242880,0.01293683
   6291456,0.01196694
   7340032,0.01199698
   8388608,0.01196790
  10485760,0.01096392
  12582912,0.01193905
  14680064,0.01193905
  16777216,0.01199794
  20971520,0.01196098
  25165824,0.01196718
  29360128,0.01196790
  33554432,0.01196718
  41943040,0.01194000
  50331648,0.01193786
  58720256,0.01196694
  67108864,0.01193714
  83886080,0.01097107
 100663296,0.01196694
 117440512,0.01293612
 134217728,0.01196718
