Size,Runtime
(bytes),(seconds)
      2560,0.00199294
      3072,0.00199389
      3584,0.00199413
      4096,0.00199318
      5120,0.00199389
      6144,0.00196695
      7168,0.00196600
      8192,0.00199413
     10240,0.00199199
     12288,0.00199389
     14336,0.00199389
     16384,0.00199199
     20480,0.00199485
     24576,0.00196505
     28672,0.00199509
     32768,0.00196290
     40960,0.00299096
     49152,0.00296211
     57344,0.00301600
     65536,0.00299096
     81920,0.00398803
     98304,0.00398207
    114688,0.00396109
    131072,0.00398898
    163840,0.00396085
    196608,0.00399017
    229376,0.00698090
    262144,0.00598693
    327680,0.00797796
    393216,0.00797915
    458752,0.00799990
    524288,0.00797892
    655360,0.00797987
    786432,0.00894785
    917504,0.00994396
   1048576,0.00897479
   1310720,0.00897598
   1572864,0.00997686
   1835008,0.00897598
   2097152,0.00997400
   2621440,0.01096988
   3145728,0.01097107
   3670016,0.01296496
   4194304,0.01196599
   5242880,0.01196599
   6291456,0.01196694
   7340032,0.01193500
   8388608,0.01293612
  10485760,0.01200008
  12582912,0.01199603
  14680064,0.01194000
  16777216,0.01293588
  20971520,0.01195288
  25165824,0.01196790
  29360128,0.01194000
  33554432,0.01193905
  41943040,0.01193905
  50331648,0.01196814
  58720256,0.01293397
  67108864,0.01196790
  83886080,0.01293802
 100663296,0.01196694
 117440512,0.01196814
 134217728,0.01196599
