Size,Runtime
(bytes),(seconds)
      2560,0.00199413
      3072,0.00199509
      3584,0.00199389
      4096,0.00199485
      5120,0.00196719
      6144,0.00198102
      7168,0.00196505
      8192,0.00199080
     10240,0.00196290
     12288,0.00196600
     14336,0.00199413
     16384,0.00196481
     20480,0.00199389
     24576,0.00196505
     28672,0.00199485
     32768,0.00199413
     40960,0.00296092
     49152,0.00296307
     57344,0.00297999
     65536,0.00299191
     81920,0.00302196
     98304,0.00396085
    114688,0.00398684
    131072,0.00398779
    163840,0.00396204
    196608,0.00396109
    229376,0.00695395
    262144,0.00695300
    327680,0.00797796
    393216,0.00800800
    458752,0.00797987
    524288,0.00897479
    655360,0.00894690
    786432,0.00896287
    917504,0.00897598
   1048576,0.00897598
   1310720,0.00924087
   1572864,0.00997281
   1835008,0.01097012
   2097152,0.01100016
   2621440,0.00994515
   3145728,0.01196694
   3670016,0.01196790
   4194304,0.01293588
   5242880,0.01196790
   6291456,0.01193905
   7340032,0.01197100
   8388608,0.01293588
  10485760,0.01196599
  12582912,0.01293492
  14680064,0.01296186
  16777216,0.01194310
  20971520,0.01293588
  25165824,0.01293683
  29360128,0.01193905
  33554432,0.01193500
  41943040,0.01199508
  50331648,0.01196790
  58720256,0.01199603
  67108864,0.01194000
  83886080,0.01224494
 100663296,0.01196623
 117440512,0.01293206
 134217728,0.01293588
