Size,Runtime
(bytes),(seconds)
      2560,0.00199389
      3072,0.00199509
      3584,0.00199413
      4096,0.00196505
      5120,0.00199318
      6144,0.00199389
      7168,0.00199509
      8192,0.00199389
     10240,0.00196791
     12288,0.00199389
     14336,0.00199199
     16384,0.00199103
     20480,0.00196695
     24576,0.00199413
     28672,0.00199389
     32768,0.00199199
     40960,0.00298905
     49152,0.00296402
     57344,0.00299096
     65536,0.00396109
     81920,0.00299406
     98304,0.00396109
    114688,0.00398898
    131072,0.00395989
    163840,0.00396085
    196608,0.00395989
    229376,0.00398993
    262144,0.00395894
    327680,0.00797701
    393216,0.00797915
    458752,0.00800705
    524288,0.00897479
    655360,0.00894690
    786432,0.00894809
    917504,0.00894713
   1048576,0.00897598
   1310720,0.00994205
   1572864,0.00894690
   1835008,0.00997090
   2097152,0.00997305
   2621440,0.01096892
   3145728,0.01097012
   3670016,0.01194000
   4194304,0.01199698
   5242880,0.01094317
   6291456,0.01194501
   7340032,0.01193786
   8388608,0.01194215
  10485760,0.01296496
  12582912,0.01296496
  14680064,0.01193905
  16777216,0.01196790
  20971520,0.01294088
  25165824,0.01296282
  29360128,0.01196790
  33554432,0.01199794
  41943040,0.01296496
  50331648,0.01194000
  58720256,0.01196694
  67108864,0.01196599
  83886080,0.01293588
 100663296,0.01294994
 117440512,0.01199698
 134217728,0.01196694
