Size,Runtime
(bytes),(seconds)
      2560,0.00199413
      3072,0.00199485
      3584,0.00199389
      4096,0.00199389
      5120,0.00199389
      6144,0.00197506
      7168,0.00199294
      8192,0.00196505
     10240,0.00199389
     12288,0.00197387
     14336,0.00199389
     16384,0.00196600
     20480,0.00296402
     24576,0.00199294
     28672,0.00199389
     32768,0.00199604
     40960,0.00297999
     49152,0.00298786
     57344,0.00299191
     65536,0.00299215
     81920,0.00299191
     98304,0.00395989
    114688,0.00398898
    131072,0.00395894
    163840,0.00398779
    196608,0.00398612
    229376,0.00398803
    262144,0.00794911
    327680,0.00794792
    393216,0.00797892
    458752,0.00894690
    524288,0.00894594
    655360,0.00894308
    786432,0.00848413
    917504,0.00897503
   1048576,0.00897813
   1310720,0.00897503
   1572864,0.00994396
   1835008,0.00997305
   2097152,0.01094103
   2621440,0.01094198
   3145728,0.01196814
   3670016,0.01193881
   4194304,0.01199603
   5242880,0.01196504
   6291456,0.01199722
   7340032,0.01196599
   8388608,0.01198483
  10485760,0.01196790
  12582912,0.01199698
  14680064,0.01193905
  16777216,0.01293612
  20971520,0.01196694
  25165824,0.01293707
  29360128,0.01196790
  33554432,0.01293588
  41943040,0.01295114
  50331648,0.01199603
  58720256,0.01296091
  67108864,0.01196790
  83886080,0.01194000
 100663296,0.01222396
 117440512,0.01193905
 134217728,0.01196599
