Size,Runtime
(bytes),(seconds)
      2560,0.00199318
      3072,0.00199389
      3584,0.00199413
      4096,0.00196600
      5120,0.00199485
      6144,0.00196505
      7168,0.00199199
      8192,0.00199509
     10240,0.00199389
     12288,0.00199294
     14336,0.00198889
     16384,0.00199294
     20480,0.00199389
     24576,0.00199509
     28672,0.00199389
     32768,0.00199485
     40960,0.00296211
     49152,0.00299001
     57344,0.00296307
     65536,0.00296211
     81920,0.00395989
     98304,0.00398612
    114688,0.00396085
    131072,0.00396204
    163840,0.00396109
    196608,0.00396109
    229376,0.00398993
    262144,0.00697803
    327680,0.00795007
    393216,0.00797820
    458752,0.00797892
    524288,0.00897503
    655360,0.00894713
    786432,0.00894809
    917504,0.00894690
   1048576,0.00894713
   1310720,0.00894618
   1572864,0.00997090
   1835008,0.00900507
   2097152,0.01097012
   2621440,0.01094079
   3145728,0.01196694
   3670016,0.01194000
   4194304,0.01250196
   5242880,0.01193905
   6291456,0.01194000
   7340032,0.01194000
   8388608,0.01196909
  10485760,0.01293707
  12582912,0.01293707
  14680064,0.01247096
  16777216,0.01296496
  20971520,0.01296496
  25165824,0.01193786
  29360128,0.01293802
  33554432,0.01199698
  41943040,0.01196790
  50331648,0.01198602
  58720256,0.01293588
  67108864,0.01197004
  83886080,0.01296401
 100663296,0.01196718
 117440512,0.01199698
 134217728,0.01199603
