Size,Runtime
(bytes),(seconds)
      2560,0.00196481
      3072,0.00199389
      3584,0.00199485
      4096,0.00199389
      5120,0.00197005
      6144,0.00199413
      7168,0.00196695
      8192,0.00199199
     10240,0.00199485
     12288,0.00199294
     14336,0.00196600
     16384,0.00199389
     20480,0.00199199
     24576,0.00199294
     28672,0.00199389
     32768,0.00198102
     40960,0.00296283
     49152,0.00299191
     57344,0.00299501
     65536,0.00296307
     81920,0.00396109
     98304,0.00396085
    114688,0.00398707
    131072,0.00395989
    163840,0.00397301
    196608,0.00398493
    229376,0.00401711
    262144,0.00398493
    327680,0.00797796
    393216,0.00798106
    458752,0.00797892
    524288,0.00894690
    655360,0.00894594
    786432,0.00897598
    917504,0.00897479
   1048576,0.00894809
   1310720,0.00897408
   1572864,0.00897598
   1835008,0.00997400
   2097152,0.00997686
   2621440,0.01096702
   3145728,0.01096988
   3670016,0.01097107
   4194304,0.01196814
   5242880,0.01194000
   6291456,0.01097012
   7340032,0.01193905
   8388608,0.01194286
  10485760,0.01293302
  12582912,0.01196694
  14680064,0.01193905
  16777216,0.01293588
  20971520,0.01196814
  25165824,0.01293707
  29360128,0.01293802
  33554432,0.01195407
  41943040,0.01199698
  50331648,0.01293612
  58720256,0.01293802
  67108864,0.01293397
  83886080,0.01293707
 100663296,0.01197290
 117440512,0.01293707
 134217728,0.01196694
